identificatie,postcode,huisnummer,oppervlakte,gebruiksdoel,status,pand_identificatie
0361010000004227,1827JV,62,118,woonfunctie,Verblijfsobject in gebruik,0361100000046585
0361010000005231,1827DC,7,75,woonfunctie,Verblijfsobject in gebruik,0361100000041763
0361010000001291,1826JA,31,116,woonfunctie,Verblijfsobject in gebruik,0361100000037430
0361010000005675,1829XE,27,125,woonfunctie,Verblijfsobject in gebruik,0361100000011899
0361010000003703,1825PX,16,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000002791,1816BP,79,140,woonfunctie,Verblijfsobject in gebruik,0361100000024372
0361010000005232,1827DD,8,75,woonfunctie,Verblijfsobject in gebruik,0361100000041927
0361010000003190,1831AC,7,105,woonfunctie,Verblijfsobject in gebruik,0361100000047997
0361010000004228,1827JV,63,115,woonfunctie,Verblijfsobject in gebruik,0361100000046586
0361010000001292,1826JC,32,120,woonfunctie,Verblijfsobject in gebruik,0361100000037600
0361010000002336,1817HK,48,134,woonfunctie,Verblijfsobject in gebruik,0361100000026589
0361010000005676,1829XG,28,133,woonfunctie,Verblijfsobject in gebruik,0361100000010418
0361010000001813,1811DL,5,86,woonfunctie,Verblijfsobject in gebruik,0361100000105117
0361010000002792,1817BK,80,368,woonfunctie,Verblijfsobject in gebruik,0361100000024230
0361010000005233,1827DC,9,75,woonfunctie,Verblijfsobject in gebruik,0361100000041795
0361010000003191,1831AB,8,103,woonfunctie,Verblijfsobject in gebruik,0361100000047860
0361010000004229,1827JV,64,111,woonfunctie,Verblijfsobject in gebruik,0361100000046588
0361010000001293,1826JA,33,116,woonfunctie,Verblijfsobject in gebruik,0361100000037429
0361010000003704,1825PX,17,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000005677,1829XE,29,138,woonfunctie,Verblijfsobject in gebruik,0361100000011900
0361010000001814,1811DL,6,50,woonfunctie,Verblijfsobject in gebruik,0361100000105112
0361010000003192,1831AC,9,100,woonfunctie,Verblijfsobject in gebruik,0361100000047996
0361010000005234,1827DD,10,75,woonfunctie,Verblijfsobject in gebruik,0361100000041923
0361010000004230,1827JV,65,111,woonfunctie,Verblijfsobject in gebruik,0361100000046590
0361010000001294,1826JD,34,132,woonfunctie,Verblijfsobject in gebruik,0361100000038019
0361010000002337,1817HK,50,138,woonfunctie,Verblijfsobject in gebruik,0361100000026592
0361010000005678,1829XG,30,124,woonfunctie,Verblijfsobject in gebruik,0361100000010420
0361010000002793,1817BK,80,200,gezondheidszorgfunctie,Verbouwing verblijfsobject,0361100000024232
0361010000005235,1827DC,11,75,woonfunctie,Verblijfsobject in gebruik,0361100000041796
0361010000003193,1831AB,10,103,woonfunctie,Verblijfsobject in gebruik,0361100000047861
0361010000004777,1824EV,98,160,woonfunctie,Verblijfsobject in gebruik,0361100000025450
0361010000004231,1827JV,66,112,woonfunctie,Verblijfsobject in gebruik,0361100000046592
0361010000003705,1825PX,18,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000001295,1826JA,35,116,woonfunctie,Verblijfsobject in gebruik,0361100000037427
0361010000002338,1817HL,54,131,woonfunctie,Verblijfsobject in gebruik,0361100000027211
0361010000001815,1811DL,7,86,woonfunctie,Verblijfsobject in gebruik,0361100000105118
0361010000005679,1829XE,31,125,woonfunctie,Verblijfsobject in gebruik,0361100000011901
0361010000002794,1816BP,81,133,woonfunctie,Verblijfsobject in gebruik,0361100000024441
0361010000005236,1827DD,12,75,woonfunctie,Verblijfsobject in gebruik,0361100000041922
0361010000003194,1831AC,11,100,woonfunctie,Verblijfsobject in gebruik,0361100000047995
0361010000004232,1827JV,67,127,woonfunctie,Verblijfsobject in gebruik,0361100000046596
0361010000001296,1826JD,36,115,woonfunctie,Verblijfsobject in gebruik,0361100000038020
0361010000005680,1829XG,32,124,woonfunctie,Verblijfsobject in gebruik,0361100000010422
0361010000004779,1824EV,100,137,woonfunctie,Verblijfsobject in gebruik,0361100000102756
0361010000005237,1827DC,13,75,woonfunctie,Verblijfsobject in gebruik,0361100000041798
0361010000003195,1831AB,12,100,woonfunctie,Verblijfsobject in gebruik,0361100000047863
0361010000003706,1825PX,19,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000001816,1811DL,8,41,woonfunctie,Verbouwing verblijfsobject,0361100000105112
0361010000004233,1827JV,68,108,woonfunctie,Verblijfsobject in gebruik,0361100000046600
0361010000002340,1817HL,58,131,woonfunctie,Verblijfsobject in gebruik,0361100000027214
0361010000005681,1829XE,33,151,woonfunctie,Verblijfsobject in gebruik,0361100000012689
0361010000004780,1824EV,102,137,woonfunctie,Verblijfsobject in gebruik,0361100000025455
0361010000005238,1827DD,14,80,woonfunctie,Verblijfsobject in gebruik,0361100000042172
0361010000003196,1831AC,13,103,woonfunctie,Verblijfsobject in gebruik,0361100000047977
0361010000002796,1816BP,83,145,woonfunctie,Verblijfsobject in gebruik,0361100000024442
0361010000005682,1829XG,34,17,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106736
0361010000004234,1827JV,69,132,woonfunctie,Verblijfsobject in gebruik,0361100000046987
0361010000002341,1817HL,60,131,woonfunctie,Verblijfsobject in gebruik,0361100000027218
0361010000001817,1811DL,9,123,woonfunctie,Verblijfsobject in gebruik,0361100000105119
0361010000004781,1824EV,104,137,woonfunctie,Verblijfsobject in gebruik,0361100000025457
0361010000003707,1825PX,20,68,woonfunctie,Verblijfsobject in gebruik,0361100000103802
0361010000005683,1829XE,35,139,woonfunctie,Verblijfsobject in gebruik,0361100000012690
0361010000005684,1829XG,36,17,overige gebruiksfunctie,Verblijfsobject in gebruik,0361100000106735
0361010000004782,1824EV,106,137,woonfunctie,Verblijfsobject in gebruik,0361100000025460
